Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6546731
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3686127
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,5603834
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2668944
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,391495
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,512024
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,245724
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,383446
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,249100
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,106605
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,140751
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,85617
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,274492
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,43230
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,30471
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,27279
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,47228
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,19901
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,21185
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,11405
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2548
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,1042
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,715
US-Mexico Border,11/01/2017 12:00:00 AM,Personal Vehicle Passengers,11928122,14179199
US-Mexico Border,11/01/2017 12:00:00 AM,Personal Vehicles,6369244,6547409
US-Mexico Border,11/01/2017 12:00:00 AM,Pedestrians,3846738,3685514
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicle Passengers,3630353,5611367
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicles,2002198,2671489
US-Mexico Border,11/01/2017 12:00:00 AM,Trucks,513361,391030
US-Canada Border,11/01/2017 12:00:00 AM,Trucks,493062,512096
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Full,367342,383508
US-Mexico Border,11/01/2017 12:00:00 AM,Truck Containers Full,358016,245296
US-Mexico Border,11/01/2017 12:00:00 AM,Truck Containers Empty,150965,140712
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Full,147252,106450
US-Mexico Border,11/01/2017 12:00:00 AM,Bus Passengers,137698,249525
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Empty,135585,85427
US-Canada Border,11/01/2017 12:00:00 AM,Bus Passengers,106550,275133
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Empty,64178,43150
US-Mexico Border,11/01/2017 12:00:00 AM,Rail Containers Empty,49157,30400
US-Mexico Border,11/01/2017 12:00:00 AM,Rail Containers Full,41351,27225
US-Canada Border,11/01/2017 12:00:00 AM,Pedestrians,20077,47331
US-Mexico Border,11/01/2017 12:00:00 AM,Buses,13786,19925
US-Canada Border,11/01/2017 12:00:00 AM,Train Passengers,13675,21213
US-Canada Border,11/01/2017 12:00:00 AM,Buses,4930,11430
US-Canada Border,11/01/2017 12:00:00 AM,Trains,1872,2550
US-Mexico Border,11/01/2017 12:00:00 AM,Trains,934,714
US-Mexico Border,11/01/2017 12:00:00 AM,Train Passengers,800,1043
US-Mexico Border,10/01/2017 12:00:00 AM,Personal Vehicle Passengers,12145354,14186992
US-Mexico Border,10/01/2017 12:00:00 AM,Personal Vehicles,6567955,6547330
US-Canada Border,10/01/2017 12:00:00 AM,Personal Vehicle Passengers,4105894,5617135
US-Mexico Border,10/01/2017 12:00:00 AM,Pedestrians,3749935,3685268
US-Canada Border,10/01/2017 12:00:00 AM,Personal Vehicles,2243138,2673130
US-Mexico Border,10/01/2017 12:00:00 AM,Trucks,536285,390473
US-Canada Border,10/01/2017 12:00:00 AM,Trucks,505480,512122
US-Canada Border,10/01/2017 12:00:00 AM,Truck Containers Full,384348,383505
US-Mexico Border,10/01/2017 12:00:00 AM,Truck Containers Full,372257,244809
US-Canada Border,10/01/2017 12:00:00 AM,Bus Passengers,169178,275539
US-Mexico Border,10/01/2017 12:00:00 AM,Truck Containers Empty,160771,140635
US-Canada Border,10/01/2017 12:00:00 AM,Rail Containers Full,153148,106271
US-Canada Border,10/01/2017 12:00:00 AM,Truck Containers Empty,131890,85249
US-Mexico Border,10/01/2017 12:00:00 AM,Bus Passengers,126181,249998
US-Canada Border,10/01/2017 12:00:00 AM,Rail Containers Empty,68192,43055
US-Canada Border,10/01/2017 12:00:00 AM,Pedestrians,57404,47293
US-Mexico Border,10/01/2017 12:00:00 AM,Rail Containers Empty,49780,30325
US-Mexico Border,10/01/2017 12:00:00 AM,Rail Containers Full,45513,27155
US-Canada Border,10/01/2017 12:00:00 AM,Train Passengers,16240,21233
US-Mexico Border,10/01/2017 12:00:00 AM,Buses,14484,19945
US-Canada Border,10/01/2017 12:00:00 AM,Buses,6614,11448
US-Canada Border,10/01/2017 12:00:00 AM,Trains,1934,2553
US-Mexico Border,10/01/2017 12:00:00 AM,Trains,1027,713
US-Mexico Border,10/01/2017 12:00:00 AM,Train Passengers,999,1043
US-Mexico Border,09/01/2017 12:00:00 AM,Personal Vehicle Passengers,11518284,14197256
US-Mexico Border,09/01/2017 12:00:00 AM,Personal Vehicles,6233052,6548539
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicle Passengers,4569811,5621163
US-Mexico Border,09/01/2017 12:00:00 AM,Pedestrians,3276482,3686840
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicles,2425684,2674082
US-Mexico Border,09/01/2017 12:00:00 AM,Trucks,493093,390079
US-Canada Border,09/01/2017 12:00:00 AM,Trucks,478231,512252
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Full,355731,383611
US-Mexico Border,09/01/2017 12:00:00 AM,Truck Containers Full,337455,244453
US-Canada Border,09/01/2017 12:00:00 AM,Bus Passengers,195397,275847
US-Mexico Border,09/01/2017 12:00:00 AM,Truck Containers Empty,153489,140585
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Full,141462,106135
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Empty,132864,85065
US-Mexico Border,09/01/2017 12:00:00 AM,Bus Passengers,115717,250514
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Empty,65431,42968
US-Canada Border,09/01/2017 12:00:00 AM,Pedestrians,49540,47284
US-Mexico Border,09/01/2017 12:00:00 AM,Rail Containers Empty,45642,30266
US-Mexico Border,09/01/2017 12:00:00 AM,Rail Containers Full,39622,27107
US-Canada Border,09/01/2017 12:00:00 AM,Train Passengers,29330,21201
US-Mexico Border,09/01/2017 12:00:00 AM,Buses,13285,19971
US-Canada Border,09/01/2017 12:00:00 AM,Buses,8634,11459
US-Canada Border,09/01/2017 12:00:00 AM,Trains,1904,2555
US-Mexico Border,09/01/2017 12:00:00 AM,Trains,912,712
US-Mexico Border,09/01/2017 12:00:00 AM,Train Passengers,885,1044
US-Mexico Border,08/01/2017 12:00:00 AM,Personal Vehicle Passengers,12274160,14204681
US-Mexico Border,08/01/2017 12:00:00 AM,Personal Vehicles,6512489,6548678
US-Canada Border,08/01/2017 12:00:00 AM,Personal Vehicle Passengers,6250197,5618734
US-Mexico Border,08/01/2017 12:00:00 AM,Pedestrians,3485501,3687617
US-Canada Border,08/01/2017 12:00:00 AM,Personal Vehicles,2969278,2672942
US-Mexico Border,08/01/2017 12:00:00 AM,Trucks,523705,389563
US-Canada Border,08/01/2017 12:00:00 AM,Trucks,515625,512239
US-Canada Border,08/01/2017 12:00:00 AM,Truck Containers Full,378644,383631
US-Mexico Border,08/01/2017 12:00:00 AM,Truck Containers Full,361603,244001
US-Canada Border,08/01/2017 12:00:00 AM,Bus Passengers,242143,275977
US-Mexico Border,08/01/2017 12:00:00 AM,Bus Passengers,178102,250794
US-Mexico Border,08/01/2017 12:00:00 AM,Truck Containers Empty,160286,140509
US-Canada Border,08/01/2017 12:00:00 AM,Truck Containers Empty,148344,84821
US-Canada Border,08/01/2017 12:00:00 AM,Rail Containers Full,144179,105988
US-Canada Border,08/01/2017 12:00:00 AM,Pedestrians,72595,47186
US-Canada Border,08/01/2017 12:00:00 AM,Rail Containers Empty,67070,42875
US-Canada Border,08/01/2017 12:00:00 AM,Train Passengers,46500,21104
US-Mexico Border,08/01/2017 12:00:00 AM,Rail Containers Empty,42851,30218
US-Mexico Border,08/01/2017 12:00:00 AM,Rail Containers Full,42747,27047
US-Mexico Border,08/01/2017 12:00:00 AM,Buses,14477,19992
US-Canada Border,08/01/2017 12:00:00 AM,Buses,10129,11464
US-Canada Border,08/01/2017 12:00:00 AM,Trains,1903,2558
US-Mexico Border,08/01/2017 12:00:00 AM,Trains,960,711
US-Mexico Border,08/01/2017 12:00:00 AM,Train Passengers,896,1044
US-Mexico Border,07/01/2017 12:00:00 AM,Personal Vehicle Passengers,12868851,14209859
US-Mexico Border,07/01/2017 12:00:00 AM,Personal Vehicles,6537424,6548721
US-Canada Border,07/01/2017 12:00:00 AM,Personal Vehicle Passengers,6174114,5616582
US-Mexico Border,07/01/2017 12:00:00 AM,Pedestrians,3501740,3688338
US-Canada Border,07/01/2017 12:00:00 AM,Personal Vehicles,2990171,2671712
US-Mexico Border,07/01/2017 12:00:00 AM,Trucks,481582,389206
US-Canada Border,07/01/2017 12:00:00 AM,Trucks,461295,512437
US-Canada Border,07/01/2017 12:00:00 AM,Truck Containers Full,345253,383779
US-Mexico Border,07/01/2017 12:00:00 AM,Truck Containers Full,327647,243676
US-Canada Border,07/01/2017 12:00:00 AM,Bus Passengers,241711,276110
US-Mexico Border,07/01/2017 12:00:00 AM,Bus Passengers,199915,250991
US-Mexico Border,07/01/2017 12:00:00 AM,Truck Containers Empty,152954,140461
US-Canada Border,07/01/2017 12:00:00 AM,Rail Containers Full,135594,105874
US-Canada Border,07/01/2017 12:00:00 AM,Truck Containers Empty,126212,84661
US-Canada Border,07/01/2017 12:00:00 AM,Pedestrians,73810,47083
US-Canada Border,07/01/2017 12:00:00 AM,Rail Containers Empty,67724,42779
US-Mexico Border,07/01/2017 12:00:00 AM,Rail Containers Empty,45844,30157
US-Canada Border,07/01/2017 12:00:00 AM,Train Passengers,45282,21010
US-Mexico Border,07/01/2017 12:00:00 AM,Rail Containers Full,42492,26987
US-Mexico Border,07/01/2017 12:00:00 AM,Buses,15376,20010
US-Canada Border,07/01/2017 12:00:00 AM,Buses,10274,11469
US-Canada Border,07/01/2017 12:00:00 AM,Trains,1859,2560
US-Mexico Border,07/01/2017 12:00:00 AM,Trains,953,710
US-Mexico Border,07/01/2017 12:00:00 AM,Train Passengers,834,1045
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,11731813,14219501
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicles,6320366,6549610
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,4487700,5620974
US-Mexico Border,06/01/2017 12:00:00 AM,Pedestrians,3255587,3690021
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicles,2472936,2672486
US-Mexico Border,06/01/2017 12:00:00 AM,Trucks,527022,388670
US-Canada Border,06/01/2017 12:00:00 AM,Trucks,512687,512436
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Full,369940,243185
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Full,369320,383836
US-Canada Border,06/01/2017 12:00:00 AM,Bus Passengers,211001,276363
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Empty,156613,140398
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Empty,154521,84389
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Full,137611,105750
US-Mexico Border,06/01/2017 12:00:00 AM,Bus Passengers,132685,251451
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Empty,65420,42691
US-Canada Border,06/01/2017 12:00:00 AM,Pedestrians,51719,47065
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Empty,46129,30095
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Full,45191,26916
US-Canada Border,06/01/2017 12:00:00 AM,Train Passengers,40134,20936
US-Mexico Border,06/01/2017 12:00:00 AM,Buses,14379,20032
US-Canada Border,06/01/2017 12:00:00 AM,Buses,10443,11473
US-Canada Border,06/01/2017 12:00:00 AM,Trains,1871,2563
US-Mexico Border,06/01/2017 12:00:00 AM,Trains,975,709
US-Mexico Border,06/01/2017 12:00:00 AM,Train Passengers,909,1045
US-Mexico Border,05/01/2017 12:00:00 AM,Personal Vehicle Passengers,12088275,14227826
US-Mexico Border,05/01/2017 12:00:00 AM,Personal Vehicles,6586937,6549464
US-Canada Border,05/01/2017 12:00:00 AM,Personal Vehicle Passengers,3907196,5627669
US-Mexico Border,05/01/2017 12:00:00 AM,Pedestrians,3542039,3690600
US-Canada Border,05/01/2017 12:00:00 AM,Personal Vehicles,2216491,2674267
US-Canada Border,05/01/2017 12:00:00 AM,Trucks,527854,512375
US-Mexico Border,05/01/2017 12:00:00 AM,Trucks,526011,388133
US-Canada Border,05/01/2017 12:00:00 AM,Truck Containers Full,497746,383391
US-Mexico Border,05/01/2017 12:00:00 AM,Truck Containers Full,475164,242279
US-Mexico Border,05/01/2017 12:00:00 AM,Truck Containers Empty,206516,140140
US-Canada Border,05/01/2017 12:00:00 AM,Truck Containers Empty,196574,83951
US-Canada Border,05/01/2017 12:00:00 AM,Bus Passengers,194863,276682
US-Canada Border,05/01/2017 12:00:00 AM,Rail Containers Full,145485,105595
US-Mexico Border,05/01/2017 12:00:00 AM,Bus Passengers,134569,251908
US-Canada Border,05/01/2017 12:00:00 AM,Rail Containers Empty,68963,42588
US-Mexico Border,05/01/2017 12:00:00 AM,Rail Containers Empty,47387,30028
US-Mexico Border,05/01/2017 12:00:00 AM,Rail Containers Full,44134,26849
US-Canada Border,05/01/2017 12:00:00 AM,Pedestrians,35628,47110
US-Canada Border,05/01/2017 12:00:00 AM,Train Passengers,28535,20906
US-Mexico Border,05/01/2017 12:00:00 AM,Buses,13577,20057
US-Canada Border,05/01/2017 12:00:00 AM,Buses,9078,11482
US-Canada Border,05/01/2017 12:00:00 AM,Trains,1947,2565
US-Mexico Border,05/01/2017 12:00:00 AM,Trains,961,708
US-Mexico Border,05/01/2017 12:00:00 AM,Train Passengers,880,1046
US-Mexico Border,04/01/2017 12:00:00 AM,Personal Vehicle Passengers,12135294,14236032
US-Mexico Border,04/01/2017 12:00:00 AM,Personal Vehicles,6339240,6550289
US-Canada Border,04/01/2017 12:00:00 AM,Personal Vehicle Passengers,3697116,5635239
US-Mexico Border,04/01/2017 12:00:00 AM,Pedestrians,3581996,3691025
US-Canada Border,04/01/2017 12:00:00 AM,Personal Vehicles,2037095,2676766
US-Mexico Border,04/01/2017 12:00:00 AM,Truck Containers Full,506676,241242
US-Canada Border,04/01/2017 12:00:00 AM,Truck Containers Full,492354,382963
US-Mexico Border,04/01/2017 12:00:00 AM,Trucks,483439,387760
US-Canada Border,04/01/2017 12:00:00 AM,Trucks,477189,512513
US-Mexico Border,04/01/2017 12:00:00 AM,Truck Containers Empty,221648,139820
US-Canada Border,04/01/2017 12:00:00 AM,Truck Containers Empty,201179,83491
US-Mexico Border,04/01/2017 12:00:00 AM,Bus Passengers,160410,252267
US-Canada Border,04/01/2017 12:00:00 AM,Rail Containers Full,146666,105434
US-Canada Border,04/01/2017 12:00:00 AM,Bus Passengers,135870,277234
US-Canada Border,04/01/2017 12:00:00 AM,Rail Containers Empty,66507,42495
US-Mexico Border,04/01/2017 12:00:00 AM,Rail Containers Empty,45990,29965
US-Mexico Border,04/01/2017 12:00:00 AM,Rail Containers Full,41127,26793
US-Canada Border,04/01/2017 12:00:00 AM,Pedestrians,25111,47196
US-Mexico Border,04/01/2017 12:00:00 AM,Buses,14939,20077
US-Canada Border,04/01/2017 12:00:00 AM,Train Passengers,13589,20935
US-Canada Border,04/01/2017 12:00:00 AM,Buses,5923,11504
US-Canada Border,04/01/2017 12:00:00 AM,Trains,1906,2568
US-Mexico Border,04/01/2017 12:00:00 AM,Train Passengers,1380,1045
US-Mexico Border,04/01/2017 12:00:00 AM,Trains,926,707
US-Mexico Border,03/01/2017 12:00:00 AM,Personal Vehicle Passengers,11938205,14245079
US-Mexico Border,03/01/2017 12:00:00 AM,Personal Vehicles,6980553,6548595
US-Mexico Border,03/01/2017 12:00:00 AM,Pedestrians,3693446,3691016
US-Canada Border,03/01/2017 12:00:00 AM,Personal Vehicle Passengers,3408603,5644006
US-Canada Border,03/01/2017 12:00:00 AM,Personal Vehicles,1945409,2679645
US-Mexico Border,03/01/2017 12:00:00 AM,Trucks,537552,387170
US-Canada Border,03/01/2017 12:00:00 AM,Trucks,522488,512474
US-Mexico Border,03/01/2017 12:00:00 AM,Truck Containers Full,379054,240700
US-Canada Border,03/01/2017 12:00:00 AM,Truck Containers Full,377348,382985
US-Mexico Border,03/01/2017 12:00:00 AM,Truck Containers Empty,161525,139735
US-Canada Border,03/01/2017 12:00:00 AM,Truck Containers Empty,155986,83205
US-Canada Border,03/01/2017 12:00:00 AM,Rail Containers Full,144585,105280
US-Mexico Border,03/01/2017 12:00:00 AM,Bus Passengers,139091,252712
US-Canada Border,03/01/2017 12:00:00 AM,Bus Passengers,93673,277957
US-Canada Border,03/01/2017 12:00:00 AM,Rail Containers Empty,66916,42398
US-Mexico Border,03/01/2017 12:00:00 AM,Rail Containers Empty,45962,29902
US-Mexico Border,03/01/2017 12:00:00 AM,Rail Containers Full,44234,26724
US-Mexico Border,03/01/2017 12:00:00 AM,Buses,16893,20090
US-Canada Border,03/01/2017 12:00:00 AM,Pedestrians,14144,47326
US-Canada Border,03/01/2017 12:00:00 AM,Train Passengers,13184,20965
US-Canada Border,03/01/2017 12:00:00 AM,Buses,4846,11530
US-Canada Border,03/01/2017 12:00:00 AM,Trains,1935,2570
US-Mexico Border,03/01/2017 12:00:00 AM,Trains,977,706
US-Mexico Border,03/01/2017 12:00:00 AM,Train Passengers,911,1045
US-Mexico Border,02/01/2017 12:00:00 AM,Personal Vehicle Passengers,10320154,14260592
US-Mexico Border,02/01/2017 12:00:00 AM,Personal Vehicles,5699768,6551950
US-Mexico Border,02/01/2017 12:00:00 AM,Pedestrians,3155207,3693134
US-Canada Border,02/01/2017 12:00:00 AM,Personal Vehicle Passengers,2878409,5654937
US-Canada Border,02/01/2017 12:00:00 AM,Personal Vehicles,1664326,2683658
US-Mexico Border,02/01/2017 12:00:00 AM,Trucks,469120,386846
US-Canada Border,02/01/2017 12:00:00 AM,Trucks,453800,512706
US-Mexico Border,02/01/2017 12:00:00 AM,Truck Containers Full,329258,240350
US-Canada Border,02/01/2017 12:00:00 AM,Truck Containers Full,325352,383213
US-Mexico Border,02/01/2017 12:00:00 AM,Truck Containers Empty,142165,139725
US-Canada Border,02/01/2017 12:00:00 AM,Truck Containers Empty,137539,82991
US-Canada Border,02/01/2017 12:00:00 AM,Rail Containers Full,133782,105167
US-Mexico Border,02/01/2017 12:00:00 AM,Bus Passengers,106487,253290
US-Canada Border,02/01/2017 12:00:00 AM,Bus Passengers,88227,278707
US-Canada Border,02/01/2017 12:00:00 AM,Rail Containers Empty,57223,42340
US-Mexico Border,02/01/2017 12:00:00 AM,Rail Containers Empty,39107,29866
US-Mexico Border,02/01/2017 12:00:00 AM,Rail Containers Full,38475,26678
US-Canada Border,02/01/2017 12:00:00 AM,Pedestrians,12616,47463
US-Mexico Border,02/01/2017 12:00:00 AM,Buses,12026,20122
US-Canada Border,02/01/2017 12:00:00 AM,Train Passengers,10640,21006
US-Canada Border,02/01/2017 12:00:00 AM,Buses,4592,11558
US-Canada Border,02/01/2017 12:00:00 AM,Trains,1744,2574
US-Mexico Border,02/01/2017 12:00:00 AM,Trains,840,706
US-Mexico Border,02/01/2017 12:00:00 AM,Train Passengers,821,1046
US-Mexico Border,01/01/2017 12:00:00 AM,Personal Vehicle Passengers,11736798,14270607
US-Mexico Border,01/01/2017 12:00:00 AM,Personal Vehicles,6286179,6553004
US-Mexico Border,01/01/2017 12:00:00 AM,Pedestrians,3424417,3694200
US-Canada Border,01/01/2017 12:00:00 AM,Personal Vehicle Passengers,3117590,5665006
US-Canada Border,01/01/2017 12:00:00 AM,Personal Vehicles,1758783,2687328
US-Canada Border,01/01/2017 12:00:00 AM,Trucks,483159,512823
US-Mexico Border,01/01/2017 12:00:00 AM,Trucks,482882,386465
US-Canada Border,01/01/2017 12:00:00 AM,Truck Containers Full,350234,383344
US-Mexico Border,01/01/2017 12:00:00 AM,Truck Containers Full,330370,239992
US-Mexico Border,01/01/2017 12:00:00 AM,Truck Containers Empty,154588,139666
US-Mexico Border,01/01/2017 12:00:00 AM,Bus Passengers,148050,253708
US-Canada Border,01/01/2017 12:00:00 AM,Truck Containers Empty,142520,82755
